// entity id,component,component data
0,billboard,assets/ttt-board.png
0,position,128,160
0,visible,true
0,scale,256,320
//
1,text,"Player Score:"
1,position,4.0,5.0
1,visible,true
1,scale,1.0,1.5
//
2,text,"Computer Score:"
2,position,4.0,30.0
2,visible,true
2,scale,1.0,1.5
//
3,text,"0"
3,position,244.0,5.0
3,visible,true
3,scale,1.0,1.5
//
4,text,"0"
4,position,244.0,30.0
4,visible,true
4,scale,1.0,1.5
//
42,tribuffer,0,58,1,1,1,1,0,320,1,1,1,1,256,320,1,1,1,1,0,58,1,1,1,1,256,320,1,1,1,1,256,58,1,1,1,1
42,visible,false
42,position,0,0
//
43,tribuffer,0,162,0,0,0,1,0,222,0,0,0,1,256,222,0,0,0,1,0,162,0,0,0,1,256,222,0,0,0,1,256,162,0,0,0,1
43,visible,false
43,position,0,0
//
44,text,""
44,scale,1,2
//
5,billboard,assets/x-base.png
6,billboard,assets/x-base.png
7,billboard,assets/x-base.png
8,billboard,assets/x-base.png
9,billboard,assets/x-base.png
10,billboard,assets/x-base.png
11,billboard,assets/x-base.png
12,billboard,assets/x-base.png
13,billboard,assets/x-base.png
14,billboard,assets/o-base.png
15,billboard,assets/o-base.png
16,billboard,assets/o-base.png
17,billboard,assets/o-base.png
18,billboard,assets/o-base.png
19,billboard,assets/o-base.png
20,billboard,assets/o-base.png
21,billboard,assets/o-base.png
22,billboard,assets/o-base.png
//
23,billboard,assets/x-top.png
24,billboard,assets/x-top.png
25,billboard,assets/x-top.png
26,billboard,assets/x-top.png
27,billboard,assets/x-top.png
28,billboard,assets/x-top.png
29,billboard,assets/x-top.png
30,billboard,assets/x-top.png
31,billboard,assets/x-top.png
32,billboard,assets/o-top.png
33,billboard,assets/o-top.png
34,billboard,assets/o-top.png
35,billboard,assets/o-top.png
36,billboard,assets/o-top.png
37,billboard,assets/o-top.png
38,billboard,assets/o-top.png
39,billboard,assets/o-top.png
40,billboard,assets/o-top.png
41,billboard,assets/o-top.png
//
5,scale,80,80
6,scale,80,80
7,scale,80,80
8,scale,80,80
9,scale,80,80
10,scale,80,80
11,scale,80,80
12,scale,80,80
13,scale,80,80
14,scale,80,80
15,scale,80,80
16,scale,80,80
17,scale,80,80
18,scale,80,80
19,scale,80,80
20,scale,80,80
21,scale,80,80
22,scale,80,80
23,scale,80,80
24,scale,80,80
25,scale,80,80
26,scale,80,80
27,scale,80,80
28,scale,80,80
29,scale,80,80
30,scale,80,80
31,scale,80,80
32,scale,80,80
33,scale,80,80
34,scale,80,80
35,scale,80,80
36,scale,80,80
37,scale,80,80
38,scale,80,80
39,scale,80,80
40,scale,80,80
41,scale,80,80
//
5,alpha,0
6,alpha,0
7,alpha,0
8,alpha,0
9,alpha,0
10,alpha,0
11,alpha,0
12,alpha,0
13,alpha,0
14,alpha,0
15,alpha,0
16,alpha,0
17,alpha,0
18,alpha,0
19,alpha,0
20,alpha,0
21,alpha,0
22,alpha,0
23,alpha,0
24,alpha,0
25,alpha,0
26,alpha,0
27,alpha,0
28,alpha,0
29,alpha,0
30,alpha,0
31,alpha,0
32,alpha,0
33,alpha,0
34,alpha,0
35,alpha,0
36,alpha,0
37,alpha,0
38,alpha,0
39,alpha,0
40,alpha,0
41,alpha,0
